('file-not-found', 'NN')
('triples', 'VBZ')
('color-c', 'NN')
('added', 'VBD')
('sized', 'JJ')
('verifies', 'NNS')
('congruential', 'JJ')
('opacity', 'NN')
('crc32', 'NN')
('feature', 'NN')
('incremental', 'JJ')
('representations', 'NNS')
('recognized', 'VBN')
('seconds', 'NNS')
('stopped', 'VBD')
('png_alpha_standard', 'JJ')
('compilation', 'NN')
('let', 'NN')
('identified', 'VBN')
('requiring', 'VBG')
('rewrites', 'NNS')
('intervening', 'VBG')
('fallthrough', 'JJ')
('next_type', 'JJ')
('interpolation', 'NN')
('values><n', 'NN')
('>keep', 'NNP')
('png_read_filler_supported', 'VBD')
('disk', 'JJ')
('substitution', 'NN')
('png_flag_detect_uninitialized', 'VBN')
('drops', 'NNS')
('libpng_ver', 'IN')
('permuting', 'VBG')
('moment', 'NN')
('png_set_shiftpng_structp', 'NN')
('finding', 'VBG')
('incoming', 'VBG')
('introduction', 'NN')
('aids', 'NNS')
('enabled', 'VBD')
('read_file', 'JJ')
('product', 'NN')
('srgb1', 'NN')
('wider', 'JJR')
('position', 'NN')
('pre-160', 'NN')
('addressed', 'VBD')
('regained', 'JJ')
('signal', 'JJ')
('accumulaten', 'JJ')
('libpng-1611', 'JJ')
('content', 'NN')
('png_handle_chunk_if_safe', 'JJ')
('image->opts', 'JJ')
('implied', 'JJ')
('lets', 'NNS')
('invariant', 'JJ')
('discards', 'NNS')
('dispersion', 'NN')
('c99', 'NN')
('operationspixel', 'FW')
('went', 'VBD')
('valie', 'IN')
('apple', 'NN')
('chunkname', 'NN')
('increases', 'VBZ')
('green-scale', 'JJ')
('invalidate', 'NN')
('reversal', 'NN')
('sse2', 'JJ')
('replace', 'VB')
('png_set_packswappng_structrp', 'JJ')
('loss', 'NN')
('smashed', 'VBD')
('prtr', 'JJ')
('errorwarning', 'VBG')
('libpng-109beta03', 'JJ')
('red-xred-scale', 'JJ')
('sort', 'NN')
('preserving', 'VBG')
('png_set_packingpng_structrp', 'NN')
('max>0', 'NN')
('degrade', 'VBD')
('blue-xgreen-scale', 'JJ')
('follows', 'VBZ')
('boundary', 'JJ')
('distribute', 'NN')
('indicated', 'VBD')
('dither', 'RB')
('permutes', 'VBZ')
('overwriting', 'VBG')
('lookup', 'NN')
('complain', 'NN')
('meet', 'NN')
('invariants', 'NNS')
('clobbers', 'NNS')
('compile', 'VBP')
('colormapped', 'VBN')
('signalled', 'JJ')
('catch', 'NN')
('clean-up', 'NN')
('grayalpha', 'NN')
('implements', 'NNS')
('axis', 'IN')
('conditioning', 'VBG')
('produced', 'VBN')
('exceeded', 'JJ')
('overlap', 'NN')
('normalized', 'VBD')
('terminal', 'JJ')
('matrix', 'NN')
('freedom', 'NN')
('caveat', 'NN')
('tristimulus', 'JJ')
('from_1', 'JJ')
('atob0', 'NN')
('word', 'NN')
('creation', 'NN')
('exceed', 'VBP')
('whacking', 'VBG')
('after', 'IN')
('bgra', 'NN')
('leaving', 'VBG')
('copes', 'NNS')
('gb16', 'RB')
('slow', 'JJ')
('flushing', 'VBG')
('whereas', 'JJ')
('log2x257', 'JJ')
('use_input_precision', 'NN')
('ensures', 'VBZ')
('deallocation', 'NN')
('escape', 'NN')
('whichever', 'IN')
('asks', 'NNS')
('than', 'IN')
('adjusted', 'VBN')
('integer', 'NN')
('pre-1610', 'JJ')
('damaged', 'VBN')
('b-ca-c', 'JJ')
('converge', 'NN')
('defeat', 'NN')
('simplified', 'VBD')
('libpng-106g', 'JJ')
('apis', 'NN')
('bytewise', 'NN')
('multiplication', 'NN')
('awful', 'JJ')
('info_structs', 'NNS')
('simplify', 'VBP')
('runs', 'VBZ')
('unsetinvalidonoff', 'JJ')
('update_info', 'JJ')
('png_io_chunk_data', 'NN')
('intrapixel', 'NN')
('documentation', 'NN')
('prevented', 'VBD')
('error_via_linear', 'JJ')
('readings', 'NNS')
('assigns', 'IN')
('9-bit', 'CD')
('mapped', 'JJ')
('globals', 'NNS')
('settings', 'NNS')
('reader', 'VBP')
('odd', 'JJ')
('png_ptr->unknown_default', 'NN')
('commented', 'VBD')
('candidate', 'JJ')
('information', 'NN')
('pngwioc', 'NN')
('selects', 'VBZ')
('clears', 'NNS')
('depthchannels', 'NNS')
('opposite', 'VBP')
('check_end', 'JJ')
('realloc', 'NN')
('consistency', 'NN')
('adjusting', 'VBG')
('multiplier', 'JJR')
('calculating', 'VBG')
('forbidden', 'JJ')
('skipping', 'VBG')
('red-yred-scale', 'JJ')
('p-c', 'JJ')
('png_ptr->output_flush_fn', 'JJ')
('aborts', 'NNS')
('writer', 'NN')
('multiple_algorithms', 'VBP')
('cheap', 'JJ')
('addresses', 'NNS')
('performed', 'VBD')
('acquire', 'VB')
('tell', 'NN')
('pre-transform', 'JJ')
('store_memory', 'JJ')
('avoids', 'NNS')
('like', 'IN')
('deleting', 'VBG')
('source', 'NN')
('directlyn', 'NN')
('lists', 'VBZ')
('enable-arm-neon', 'JJ')
('p_linear', 'JJ')
('separation', 'NN')
('pngconfh', 'NN')
('parts', 'NNS')
('m<<24', 'VBP')
('seem', 'VBP')
('read_srgb', 'JJ')
('rgb-16', 'JJ')
('wish', 'JJ')
('png_cmap_rgb', 'NN')
('non-printing', 'JJ')
('defines', 'NNS')
('shift-32', 'JJ')
('runn', 'NN')
('block', 'NN')
('bits', 'NNS')
('idea', 'NN')
('riffled', 'VBD')
('efficiency', 'JJ')
('png_ptr->zowner', 'NN')
('whether', 'IN')
('cleans', 'NNS')
('srgb0', 'JJ')
('strerror', 'JJ')
('re-read', 'JJ')
('coefficients_overridden', 'NN')
('reaches', 'VBZ')
('png_pack', 'RB')
('setjmp', 'JJ')
('maxabs', 'NNS')
('matter', 'RBR')
('blue-xred-y', 'JJ')
('complements', 'NNS')
('indicate', 'VBP')
('png_ptr->palette', 'NN')
('discarded', 'VBD')
('--sp', 'NNP')
('specify', 'VB')
('store_pool_delete', 'JJ')
('endrc', 'NN')
('assumes', 'VBZ')
('cases', 'NNS')
('libpng-155', 'JJ')
('lanes', 'NNS')
('glibc', 'NNS')
('standard_', 'VBP')
('keeping', 'VBG')
('fclose', 'RB')
('allocated', 'VBN')
('interesting', 'JJ')
('blue-c', 'JJ')
('meaningful', 'JJ')
('smashes', 'NNS')
('npalette', 'JJ')
('measure', 'NN')
('theyd', 'NN')
('bytestag', 'NN')
('warnuse', 'IN')
('support', 'NN')
('png_filter_value_up', 'NN')
('scnr', 'NN')
('assuming', 'VBG')
('curve', 'NN')
('matrices', 'NNS')
('checked', 'VBD')
('using', 'VBG')
('points', 'NNS')
('damages', 'NNS')
('equivalent', 'JJ')
('property', 'NN')
('fio21-cdonotcreatetemporaryfilesinshareddirectories', 'NNS')
('png_max_malloc_64k', 'NN')
('problem', 'NN')
('outside', 'IN')
('expected', 'VBN')
('understand', 'NN')
('reversed', 'VBD')
('valuev', 'NN')
('means', 'NNS')
('generation', 'NN')
('finer', 'NN')
('terminates', 'NNS')
('via_linear', 'VBP')
('behavior', 'JJ')
('refer', 'NN')
('lengths', 'NNS')
('help', 'VBP')
('zlib_io_max', 'VB')
('interdependencies', 'NNS')
('outputoutput_size', 'VB')
('sticky', 'JJ')
('switched', 'VBN')
('png_read_shift_supported', 'JJ')
('meaningless', 'NN')
('scaling', 'VBG')
('r^g', 'JJ')
('png_optimized_alpha', 'NN')
('handle_as_unknown', 'NN')
('obtained', 'VBD')
('sync_flush', 'JJ')
('consult', 'NN')
('do_own_interlace', 'NN')
('png_set_gray_1_2_4_to_8', 'NN')
('backgrounds', 'VBZ')
('equations', 'NNS')
('exponents', 'NNS')
('arranged', 'VBD')
('preserves', 'NNS')
('base_formats', 'NNS')
('fraction', 'VBP')
('whining', 'VBG')
('extreme', 'NN')
('constants', 'NNS')
('idat_reset', 'VBP')
('bitshigh', 'JJ')
('cnhp730sicc', 'NN')
('details', 'NNS')
('relates', 'VBZ')
('depends', 'VBZ')
('capabilities', 'NNS')
('sure', 'JJ')
('tile', 'JJ')
('ethernet', 'NN')
('piece', 'NN')
('zlibh', 'NN')
('_fixed', 'VBD')
('running', 'VBG')
('p_file', 'NN')
('irrelevant', 'JJ')
('release_build', 'JJ')
('builds', 'NNS')
('pm->calculations_use_input_precision', 'NN')
('until', 'IN')
('png_swap_bytes', 'NNS')
('red-x', 'JJ')
('png_div51gray', 'NN')
('leads', 'VBZ')
('version_nn_nn_nn', 'JJ')
('generate', 'NN')
('png_expand', 'NN')
('subtables', 'NNS')
('switches', 'VBZ')
('thinks', 'NNS')
('suggested', 'VBD')
('kbytes', 'NNS')
('fesetround', 'IN')
('error_to_linear', 'JJ')
('absir', 'NN')
('returns', 'NNS')
('sacrifice', 'JJ')
('extract', 'JJ')
('out-of-range', 'JJ')
('accumulate', 'NN')
('andreas', 'NNS')
('masks', 'VBP')
('inflateinit2strm0', 'JJ')
('preventing', 'VBG')
('shifting', 'VBG')
('retained', 'VBN')
('trailer', 'JJ')
('png_fp_exponent', 'NN')
('es_loes_hi', 'NN')
('inverting', 'VBG')
('transparencytrns', 'NNS')
('chunk-name', 'NN')
('nused', 'JJ')
('handles', 'NNS')
('closure', 'VBP')
('allowing', 'VBG')
('appends', 'NNS')
('debugging', 'VBG')
('delay', 'NN')
('reveal', 'NN')
('accept', 'IN')
('trim', 'JJ')
('libpng-126', 'JJ')
('memory_free', 'JJ')
('answer', 'JJR')
('mis-match', 'NN')
('pending', 'VBG')
('calculation', 'NN')
('trashed', 'VBD')
('red-scalegreen-scaleblue-scale', 'JJ')
('exact', 'JJ')
('~poyntonnotescolour_and_gammacolorfaqtxt', 'JJ')
('people', 'NNS')
('aliased', 'VBD')
('happens', 'NNS')
('meant', 'JJ')
('floating_point', 'NN')
('involving', 'VBG')
('segment', 'NN')
('variant', 'JJ')
('tolerance', 'NN')
('>screen', 'JJ')
('insignificant', 'JJ')
('wont', 'NN')
('arguments', 'NNS')
('save_unknown_chunks', 'VBZ')
('subtraction', 'NN')
('chunked', 'VBD')
('png_div257', 'JJ')
('ciexyz', 'NN')
('compacted', 'VBD')
('utilities', 'NNS')
('gray-to-rgb', 'JJ')
('xout', 'IN')
('whenever', 'WP')
('achieved', 'VBD')
('betas', 'JJ')
('halt', 'NN')
('happen', 'VB')
('date', 'NN')
('align', 'NN')
('info_struct', 'NN')
('error_text', 'JJ')
('solution', 'NN')
('file->chunk', 'JJ')
('library', 'JJ')
('adding', 'VBG')
('hit', 'NN')
('vhivlo', 'NNS')
('printer', 'VBP')
('jumps', 'JJ')
('decision', 'NN')
('48-bit', 'JJ')
('chunkoverhead', 'JJ')
('white-x', 'JJ')
('weed', 'NN')
('badpng', 'NN')
('ensuring', 'VBG')
('dependent', 'JJ')
('s32s00', 'JJ')
('comparisons', 'NNS')
('split', 'VBP')
('dll', 'JJ')
('overwrite', 'JJ')
('restart', 'NN')
('illusion', 'NN')
('understood', 'VBD')
('scale16', 'JJ')
('conformant', 'JJ')
('discard', 'NN')
('sedgewick', 'NN')
('series', 'NN')
('treates', 'VBZ')
('r^gamma', 'JJ')
('argv0', 'NNS')
('reused', 'VBD')
('numbers', 'NNS')
('reducing', 'VBG')
('inform', 'NN')
('ifdefs', 'NN')
('bigendian', 'JJ')
('behave', 'NN')
('read_user_chunks', 'NNS')
('cached', 'VBD')
('quieted', 'JJ')
('zlib_advance', 'NN')
('discover', 'NN')
('trumps', 'NNS')
('trycatch', 'VBP')
('freeing', 'VBG')
('chromaticities', 'NNS')
('read_crc', 'VBP')
('png_max_gamma_8', 'JJ')
('figures', 'NNS')
('warningerror', 'VBP')
('nul', 'JJ')
('png_swap_alpha', 'NN')
('contriblibteststestpngsn', 'NN')
('expression', 'NN')
('gpc_', 'NN')
('multiply', 'NN')
('hunts', 'NNS')
('cpu', 'VBP')
('read_iccp', 'JJ')
('generic', 'JJ')
('adequate', 'NN')
('narrowing', 'VBG')
('presented', 'VBN')
('response', 'NN')
('simplifying', 'VBG')
('read_unknown_chunks', 'NNS')
('prototype', 'NN')
('recycled', 'VBD')
('permits', 'NNS')
('characters', 'NNS')
('limiting', 'VBG')
('reduction', 'NN')
('bad_combos', 'NN')
('detects', 'NNS')
('created', 'VBN')
('calculations', 'NNS')
('worth', 'JJ')
('merit', 'JJ')
('png_fp_end', 'NN')
('vision', 'NN')
('starting', 'VBG')
('relationship', 'NN')
('optimizer', 'NN')
('expressed', 'VBD')
('following', 'VBG')
('separated', 'VBN')
('thirty', 'JJ')
('round-trip', 'NN')
('malloced', 'VBD')
('blue-xblue-scale', 'JJ')
('pngvalid', 'JJ')
('replacing', 'NN')
('standard_row', 'NN')
('abgr', 'IN')
('infinite', 'JJ')
('computer', 'NN')
('z_stream_end', 'NN')
('skipped', 'VBD')
('loop', 'NN')
('decompressing', 'VBG')
('according', 'VBG')
('endpoints', 'NNS')
('decompress', 'JJ')
('come', 'VBP')
('inflate', 'VBP')
('png_skip_srgb_check_profile', 'JJ')
('luminance', 'NN')
('inside', 'IN')
('abuse', 'NN')
('floating', 'VBG')
('assumed', 'JJ')
('effects', 'NNS')
('frames', 'RB')
('differencing', 'VBG')
('latin', 'NN')
('passed', 'VBD')
('color-z', 'JJ')
('gamut', 'NN')
('z_null', 'NN')
('redundant', 'NN')
('crc_init', 'NN')
('png_store', 'NN')
('machine', 'NN')
('filtering', 'VBG')
('rewritten', 'JJ')
('cancels', 'NNS')
('illuminantadopted', 'VBN')
('do_trns', 'NNS')
('compressseduncompressed', 'VBD')
('considered', 'VBN')
('idat_len', 'JJ')
('mean', 'JJ')
('handler', 'NN')
('decoder', 'NN')
('get', 'NN')
('generated', 'VBN')
('approximate', 'JJ')
('part2', 'NNS')
('compute', 'JJ')
('meters', 'NNS')
('stack', 'VBP')
('limitations', 'NNS')
('02^31-1', 'JJ')
('guiwindowing', 'VBG')
('corresponding', 'VBG')
('reads', 'NNS')
('store_log', 'JJ')
('equation', 'NN')
('read_expand', 'NN')
('parse', 'NN')
('8-gamma_shift', 'JJ')
('log2bit_depth', 'NN')
('therein', 'NN')
('reread', 'VBP')
('mac', 'NN')
('receives', 'NNS')
('stored', 'VBD')
('allocator', 'NN')
('june', 'NN')
('prepare', 'NN')
('consider', 'VB')
('exit', 'NN')
('turns', 'VBZ')
('quarter', 'NN')
('maintained', 'VBD')
('changed', 'JJ')
('amounts', 'NNS')
('--dp', 'VBP')
('_ini', 'JJ')
('summaries', 'NNS')
('place', 'VBP')
('do_interlace', 'JJ')
('png_set_rgb_to_gray_fixedpng_structp', 'NN')
('non-overflowing', 'JJ')
('recompile', 'NN')
('markers', 'NNS')
('transform_range_check', 'VBP')
('file_initcontrolfile', 'JJ')
('minor', 'JJ')
('representation', 'NN')
('mechanisms', 'NNS')
('powoutg', 'VBP')
('destroys', 'VBZ')
('indexed', 'JJ')
('leak', 'JJ')
('have_intent', 'NN')
('combination', 'NN')
('png_color_type_palette', 'NN')
('colorants', 'NNS')
('conditions', 'NNS')
('zlib_vernum', 'VBP')
('supply', 'NN')
('pseudo-random', 'JJ')
('checking', 'NN')
('confusion', 'NN')
('programming', 'VBG')
('decide', 'VB')
('layout', 'IN')
('octet', 'JJ')
('owns', 'VBZ')
('avoid', 'JJ')
('filling', 'VBG')
('png_convert_size', 'JJ')
('color-scale', 'JJ')
('white-z', 'JJ')
('expansions', 'NNS')
('cksum', 'VBP')
('trip', 'NN')
('tested', 'VBN')
('stop', 'JJ')
('treats', 'NNS')
('read_16bit', 'VBP')
('floorv', 'JJ')
('development', 'NN')
('maxpc', 'NN')
('assert', 'NN')
('did', 'VBD')
('everything', 'NN')
('d65', 'NN')
('png_read_swap_supported', 'VBD')
('received', 'JJ')
('derivatives', 'NNS')
('action', 'NN')
('mark', 'NN')
('site', 'NN')
('going', 'VBG')
('contriblibtestspngstest-errorshn', 'JJ')
('agree', 'JJ')
('legion', 'NN')
('implies', 'NNS')
('extend', 'VBP')
('maintainers', 'NNS')
('iso', 'VBP')
('rest', 'NN')
('passing', 'NN')
('include', 'VBP')
('dab2', 'JJ')
('encodings0', 'JJ')
('assume_16_bit_calculations', 'NNS')
('historic', 'JJ')
('eof', 'JJ')
('store_read_reset', 'VBN')
('vlo-vhi', 'JJ')
('complains', 'NNS')
('dimensions', 'NNS')
('iterator', 'VBP')
('bytes-per-pixel', 'JJ')
('samplemaxsample', 'JJ')
('increment', 'NN')
('rows', 'VBZ')
('optimizing', 'VBG')
('silence', 'NN')
('improve', 'VB')
('correct', 'NN')
('breaking', 'VBG')
('reserved', 'VBN')
('triplets', 'NNS')
('nbytes', 'VBZ')
('remaining_space', 'VBP')
('jmpbuf_size', 'JJ')
('ancestors', 'NNS')
('revised', 'VBD')
('refers', 'NNS')
('error_to_linear_grayscale', 'JJ')
('sprintf', 'JJ')
('deallocate', 'NN')
('interpretation', 'NN')
('constraints', 'NNS')
('typingerrors', 'NNS')
('thereof', 'VBP')
('quality', 'NN')
('filetype', 'NN')
('disclaimer', 'NN')
('_out', 'IN')
('png_bgr', 'NN')
('tbd', 'NN')
('timing', 'VBG')
('png_expand_16', 'JJ')
('configuration', 'NN')
('composing', 'VBG')
('instantiate', 'JJ')
('attempt', 'NN')
('png_structpng_info', 'NN')
('chromaticity', 'NN')
('booleans', 'VBZ')
('pre-multiply', 'JJ')
('fashion', 'NN')
('above', 'IN')
('backgroundalpha', 'NN')
('knowledge', 'NN')
('said', 'VBD')
('warned', 'VBN')
('opened', 'VBD')
('forces', 'NNS')
('set_store_for_read', 'JJ')
('think', 'VBP')
('power-law', 'JJ')
('datainput_size', 'NN')
('ga-8', 'JJ')
('took', 'VBD')
('nmcl', 'JJ')
('perror', 'NN')
('introducing', 'VBG')
('read_interlacing', 'VBG')
('represent', 'NN')
('supplied', 'VBD')
('variety', 'NN')
('read_transforms', 'NNS')
('max_length', 'VBP')
('subset', 'VBN')
('paeth', 'JJ')
('pngsetc', 'NN')
('cramers', 'NNS')
('narrow', 'JJ')
('bit-depth', 'JJ')
('goodpng', 'NN')
('specified', 'VBN')
('operations', 'NNS')
('png_handle_alpha', 'VBP')
('disappear', 'JJ')
('fix-up', 'JJ')
('writes', 'NNS')
('perfect', 'VBP')
('uarb', 'JJ')
('decrement', 'NN')
('gpre', 'NN')
('mkstemp', 'NN')
('columns', 'JJ')
('failure', 'NN')
('sake', 'NN')
('kill', 'NN')
('unless', 'IN')
('examplec', 'JJ')
('amend', 'NN')
('rewind', 'NN')
('flevel', 'JJ')
('aspects', 'NNS')
('candidates', 'NNS')
('zlib_message', 'VBP')
('redefine', 'JJ')
('names', 'NNS')
('buffer_start_write', 'VBP')
('read_gray_to_rgb', 'NN')
('_init', 'NN')
('retain', 'VBP')
('png_abort', 'JJ')
('sane', 'NN')
('ga-16', 'NN')
('technique', 'NN')
('grayscalergb', 'NN')
('pixelbyte', 'NN')
('inaccuracy', 'NN')
('dots', 'NNS')
('b16g', 'VBP')
('color-map', 'JJ')
('remainder', 'NN')
('allocationdeallocation', 'NN')
('green-zgreen-scale', 'NN')
('supposed', 'VBD')
('combining', 'VBG')
('forbid', 'NN')
('applies', 'NNS')
('comparisonchecking', 'VBG')
('-165535', 'NN')
('looked', 'VBD')
('compatibility', 'NN')
('ab-c', 'JJ')
('hides', 'NNS')
('defaults', 'NNS')
('png_background_expand', 'VBP')
('log', 'NN')
('checker', 'NN')
('become', 'VB')
('onto', 'IN')
('overwrites', 'NNS')
('validates', 'NNS')
('global_use', 'VBP')
('input_memory', 'JJ')
('leaks', 'NNS')
('packing', 'VBG')
('overritten', 'JJ')
('taps', 'NNS')
('confusing', 'VBG')
('8-bits', 'JJ')
('replicate', 'NN')
('tells', 'NNS')
('solved', 'VBD')
('vary', 'JJ')
('counter', 'NN')
('hacking', 'VBG')
('libpng-107', 'JJ')
('disclaimern', 'JJ')
('perceive', 'JJ')
('evidence', 'NN')
('buffer_init8', 'NN')
('minus', 'CC')
('begin_read', 'JJ')
('skip_bad_crc', 'NN')
('choose', 'NN')
('btoa', 'NN')
('cube', 'NN')
('iteration', 'NN')
('recovered', 'VBD')
('in_use', 'RB')
('png_filler_after', 'JJ')
('lengthtypepos', 'NN')
('casts', 'NNS')
('carries', 'VBZ')
('zapped', 'VBN')
('quantity', 'NN')
('input5', 'NN')
('unreset', 'JJ')
('uniqueness', 'JJ')
('mediocre', 'NN')
('libtool', 'NN')
('clean', 'JJ')
('flow', 'NN')
('recording', 'VBG')
('frequent', 'JJ')
('deinterlace', 'NN')
('can_write_interlace', 'NN')
('store_message', 'NN')
('set_expand', 'VBP')
('guaranteed', 'VBN')
('relevant', 'JJ')
('log102', 'NN')
('<httpwwwpoyntoncomnotescolour_and_gamma>', 'NNP')
('fixing', 'VBG')
('albeit', 'NN')
('says', 'VBZ')
('evil', 'JJ')
('64-bits', 'JJ')
('retrieval', 'NN')
('poyntoncom', 'NN')
('weighted', 'VBD')
('terms', 'NNS')
('png_make_ga_colormap', 'JJ')
('expands', 'NNS')
('whiteopaque', 'JJ')
('~png_rgb_to_gray', 'JJ')
('standards', 'NNS')
('overrides', 'IN')
('libpng-1510', 'JJ')
('cleanup', 'NN')
('security', 'NN')
('transfer', 'NN')
('libpng-154', 'JJ')
('inline', 'JJ')
('read-errno', 'JJ')
('contents', 'NNS')
('headers', 'NNS')
('supporting', 'VBG')
('z_const', 'NN')
('simplified_read', 'NN')
('png_invert_mono', 'NN')
('pick', 'NN')
('calculate', 'NN')
('interferes', 'NNS')
('filename', 'VBP')
('controls', 'NNS')
('control_end', 'VBP')
('threw', 'VBD')
('applying', 'VBG')
('gray_alpha', 'NN')
('maxin_digits12', 'NN')
('files', 'NNS')
('compositing', 'VBG')
('aligned', 'VBN')
('mntr', 'NN')
('permitted', 'VBD')
('distribution', 'NN')
('given', 'VBN')
('minimum', 'JJ')
('replacements', 'NNS')
('requirement', 'JJ')
('lengthtypedata_pos', 'NN')
('linked', 'VBD')
('-710', 'JJ')
('satisfy', 'JJ')
('ensure', 'VB')
('succeed', 'VB')
('modifier_read', 'JJ')
('png_structrow_fn', 'NN')
('completed', 'VBD')
('obtain', 'VB')
('emit_error', 'JJ')
('deals', 'NNS')
('isnt', 'VBP')
('interactions', 'NNS')
('depending', 'VBG')
('rearrange', 'NN')
('png_default_claim', 'NN')
('eliminating', 'VBG')
('treatment', 'NN')
('longjmppng_ptr->jmp_buf_ptr', 'JJ')
('sparkle', 'JJ')
('gray-scale', 'JJ')
('end-point', 'NN')
('opposed', 'VBD')
('vhi', 'NN')
('predicts', 'NNS')
('compared', 'VBN')
('png_gray_to_rgb', 'JJ')
('resets', 'NNS')
('api', 'VBP')
('lay', 'JJ')
('parallel', 'JJ')
('presence', 'NN')
('guarantee', 'NN')
('rfc1950', 'VBZ')
('per-file', 'JJ')
('alloc_ptr', 'NN')
('failing', 'VBG')
('1100000ths', 'CD')
('egg', 'NN')
('inversion', 'NN')
('permute', 'NN')
('insists', 'VBZ')
('around', 'IN')
('libpng-14x', 'JJ')
('glin', 'NN')
('p-b', 'NN')
('png_read_bgr_supported', 'VBD')
('premultiply', 'NN')
('alphas', 'NNS')
('xyznumber', 'NNP')
('import', 'NN')
('srgb14', 'VBD')
('read_callback', 'NN')
('supports', 'NNS')
('mentioned', 'VBD')
('png_rowbytes', 'NNS')
('digitized', 'VBN')
('pack', 'RB')
('srgb_to_d', 'JJ')
('priority', 'NN')
('formatting', 'VBG')
('production', 'NN')
('terminator', 'NN')
('chose', 'VBD')
('overflow', 'JJ')
('setpos', 'NN')
('confounded', 'VBD')
('byte-swaps', 'NNS')
('middle', 'JJ')
('next_length', 'RB')
('png_read_gamma_supported', 'VBD')
('multiplying', 'VBG')
('encoding_counter', 'RB')
('deprecated', 'VBN')
('fixed_point', 'NN')
('ggxx', 'NN')
('record', 'NN')
('fall', 'NN')
('auto', 'NN')
('reinvent', 'JJ')
('suggest', 'RB')
('color-maps', 'NNS')
('lengthtype', 'JJ')
('fault', 'NN')
('md54', 'NN')
('operation', 'NN')
('png_shift', 'IN')
('png_ptr->trans_alpha', 'JJ')
('andn', 'NN')
('for_background', 'NN')
('runtime', 'NN')
('character', 'NN')
('dropping', 'VBG')
('closeness', 'JJ')
('randomized', 'VBN')
('ok_bits', 'NNS')
('compares', 'VBZ')
('worked', 'JJ')
('logic', 'JJ')
('build', 'VB')
('file->type', 'JJ')
('jump', 'NN')
('hardwired', 'VBD')
('calculated', 'JJ')
('causes', 'NNS')
('claim', 'VBP')
('none', 'NN')
('noise', 'NN')
('contribute', 'NN')
('png_user_mem_supported', 'VBD')
('attempted', 'JJ')
('versions', 'NNS')
('exists', 'VBZ')
('bogons', 'NNS')
('intercepted', 'VBD')
('ended', 'JJ')
('write_count', 'NN')
('icc_info', 'JJ')
('flip', 'NN')
('deflatebound', 'IN')
('blue-yred-x', 'JJ')
('plane', 'NN')
('dumps', 'NNS')
('configureac', 'VBP')
('read_user_chunks_supported', 'VBN')
('chunk_init', 'JJ')
('low-bit-depth', 'JJ')
('results', 'NNS')
('accumulating', 'VBG')
('hope', 'NN')
('worktime', 'NN')
('adam', 'NN')
('nimages1', 'JJ')
('reading', 'NN')
('require', 'VB')
('libpng-108', 'JJ')
('crazy', 'NN')
('configured', 'VBD')
('trouble', 'NN')
('readwrite', 'NN')
('structs', 'VBZ')
('inverses', 'JJ')
('locations', 'NNS')
('condition', 'NN')
('fail', 'VBP')
('expand16', 'NN')
('crashes', 'NNS')
('encodings', 'NNS')
('alpha05', 'VBP')
('write_trns', 'NNS')
('deflateinit2', 'VB')
('skips', 'NNS')
('nnnn', 'RB')
('explicit', 'JJ')
('fixme', 'JJ')
('in-err', 'JJ')
('saving', 'VBG')
('aed', 'NN')
('manages', 'NNS')
('rounded', 'VBD')
('described', 'VBN')
('cleaned', 'JJ')
('c90', 'NN')
('demonstrate', 'NN')
('nothing', 'NN')
('keywod', 'NN')
('incorporate', 'NN')
('httpsenwikipediaorgwikisrgb', 'VBD')
('e-n', 'RB')
('expanded', 'JJ')
('flush_data_fn', 'NN')
('indices', 'NNS')
('xin', 'VBP')
('blue-xwhite-scale', 'JJ')
('examine', 'JJ')
('a-c', 'JJ')
('bitcolor', 'NN')
('libpng_warning', 'VBG')
('png_get_io_ptrpng_ptr', 'JJ')
('logpixel', 'JJ')
('de-interlace', 'JJ')
('input-5', 'NN')
('techniques', 'NNS')
('putting', 'VBG')
('kodak', 'NN')
('packswap', 'NN')
('validating', 'VBG')
('write_customize_ztxt_compression', 'NN')
('depend', 'VBP')
('compiler', 'NN')
('componentalpha', 'NN')
('mediawhitepointtag', 'NN')
('storing', 'VBG')
('defaulting', 'VBG')
('hack', 'NN')
('andor', 'NN')
('set_unknown_chunks', 'NNS')
('problems', 'NNS')
('b-c', 'JJ')
('png_use_read_macros', 'NNS')
('use_update_info', 'JJ')
('rgba-16', 'JJ')
('png_filler', 'NN')
('occurred', 'VBD')
('opted', 'JJ')
('despite', 'IN')
('bitwise', 'NN')
('png_srgb_from_linear', 'JJ')
('fake', 'JJ')
('enclosing', 'VBG')
('convenient', 'JJ')
('facility', 'NN')
('btoaalpha', 'NN')
('inaccuracies', 'NNS')
('store_write_reset', 'VBP')
('error_to_srgb', 'RB')
('synced', 'VBN')
('integrity-check', 'JJ')
('poynton', 'NN')
('perception', 'NN')
('pngtestpng', 'IN')
('re-ordering', 'JJ')
('places', 'NNS')
('optimize_alpha', 'MD')
('considers', 'NNS')
('rechunk_length', 'VB')
('remains', 'NNS')
('png_packswap', 'JJ')
('ability', 'NN')
('co-exist', 'NN')
('signed', 'VBD')
('needed', 'VBN')
('prediction', 'NN')
('png_compose', 'NN')
('obey', 'IN')
('binary', 'JJ')
('predictive', 'JJ')
('a<baba>b', 'NN')
('blue-y', 'JJ')
('discarding', 'NN')
('mask_alpha', 'NN')
('read_errno', 'NN')
